Rank,Title.href,Title.text,Category.href,Category.text,App URL.href,App URL.text,index,url
40,https://itunes.apple.com/us/app/sky-guide-view-stars-night/id576588894?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Sky Guide: View Stars Night or Day,https://itunes.apple.com/us/genre/ios-reference/id6006?mt=8&uo=2&l=en,Reference,https://itunes.apple.com/us/app/sky-guide-view-stars-night/id576588894?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,40,https://www.apple.com/itunes/charts/paid-apps/
41,https://itunes.apple.com/us/app/pimp-your-screen-custom-themes/id749057895?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,"Pimp Your Screen - Custom Themes, Backgrounds and Wallpapers",https://itunes.apple.com/us/genre/ios-lifestyle/id6012?mt=8&uo=2&l=en,Lifestyle,https://itunes.apple.com/us/app/pimp-your-screen-custom-themes/id749057895?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,41,https://www.apple.com/itunes/charts/paid-apps/
42,https://itunes.apple.com/us/app/koi-journey-of-purity/id1003792498?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,KOI - Journey of Purity,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/koi-journey-of-purity/id1003792498?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,42,https://www.apple.com/itunes/charts/paid-apps/
43,https://itunes.apple.com/us/app/flick-home-run-!/id454086751?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Flick Home Run !,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/flick-home-run-!/id454086751?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,43,https://www.apple.com/itunes/charts/paid-apps/
44,https://itunes.apple.com/us/app/dark-sky-hyperlocal-weather/id517329357?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,"Dark Sky - Hyperlocal Weather, Radar, and Storm Alerts",https://itunes.apple.com/us/genre/ios-weather/id6001?mt=8&uo=2&l=en,Weather,https://itunes.apple.com/us/app/dark-sky-hyperlocal-weather/id517329357?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,44,https://www.apple.com/itunes/charts/paid-apps/
45,https://itunes.apple.com/us/app/noaa-radar-pro-severe-weather/id749133301?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,"NOAA Radar Pro ‰ÛÒ Severe Weather Alerts, Forecast & Hurricane Tracker",https://itunes.apple.com/us/genre/ios-weather/id6001?mt=8&uo=2&l=en,Weather,https://itunes.apple.com/us/app/noaa-radar-pro-severe-weather/id749133301?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,45,https://www.apple.com/itunes/charts/paid-apps/
46,https://itunes.apple.com/us/app/call-of-duty-zombies/id338057689?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Call of Duty: Zombies,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/call-of-duty-zombies/id338057689?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,46,https://www.apple.com/itunes/charts/paid-apps/
47,https://itunes.apple.com/us/app/moodnotes-thought-journal/id1019230398?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Moodnotes - Thought Journal / Mood Diary,https://itunes.apple.com/us/genre/ios-health-fitness/id6013?mt=8&uo=2&l=en,Health & Fitness,https://itunes.apple.com/us/app/moodnotes-thought-journal/id1019230398?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,47,https://www.apple.com/itunes/charts/paid-apps/
48,https://itunes.apple.com/us/app/color-splash/id304871603?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Color Splash,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/color-splash/id304871603?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,48,https://www.apple.com/itunes/charts/paid-apps/
49,https://itunes.apple.com/us/app/cut-the-rope/id380293530?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Cut the Rope,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/cut-the-rope/id380293530?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,49,https://www.apple.com/itunes/charts/paid-apps/
50,https://itunes.apple.com/us/app/enlight/id930026670?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Enlight,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/enlight/id930026670?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,50,https://www.apple.com/itunes/charts/paid-apps/
51,https://itunes.apple.com/us/app/the-sims-3/id317904170?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,The Sims 3,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/the-sims-3/id317904170?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,51,https://www.apple.com/itunes/charts/paid-apps/
52,https://itunes.apple.com/us/app/surgeon-simulator/id814977594?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Surgeon Simulator,https://itunes.apple.com/us/genre/ios-games/id6014?mt=8&uo=2&l=en,Games,https://itunes.apple.com/us/app/surgeon-simulator/id814977594?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,52,https://www.apple.com/itunes/charts/paid-apps/
53,https://itunes.apple.com/us/app/superimpose/id435913585?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Superimpose,https://itunes.apple.com/us/genre/ios-photo-video/id6008?mt=8&uo=2&l=en,Photo & Video,https://itunes.apple.com/us/app/superimpose/id435913585?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-PAIDAPPS&l=en,Buy Now on iTunes,53,https://www.apple.com/itunes/charts/paid-apps/
